store,category,name,price,product_link,common_category
al-fateh,dry_fruits_&_dates---fateh,AL RUBAB SHAHI SWAD CLASSIC 100GM,Rs.400,https://alfatah.pk/products/al-rubab-shahi-swad-classic-100gm,Dry Fruits & Nuts
al-fateh,dry_fruits_&_dates---fateh,MADINA KALMA DATES 800 GM PACK,"Rs.2,195",https://alfatah.pk/products/madina-kalma-dates-800-gm-pack,Dry Fruits & Nuts
al-fateh,dry_fruits_&_dates---fateh,MADINA MUBROOM DATES 800 GM PACK,"Rs.3,995",https://alfatah.pk/products/madina-mubroom-dates-800-gm-pack,Dry Fruits & Nuts
al-fateh,dry_fruits_&_dates---fateh,BEST CRUSHED ALMOND 100 GM,Rs.475,https://alfatah.pk/products/best-crushed-almond-100-gm,Dry Fruits & Nuts
al-fateh,dry_fruits_&_dates---fateh,AONE BADAM PAN MASALA JAR 150 GM,Rs.210,https://alfatah.pk/products/aone-badam-pan-masala-jar-150-gm,Dry Fruits & Nuts
al-fateh,dry_fruits_&_dates---fateh,A ONE DELUXE PAN MASALA 150 GM,Rs.195,https://alfatah.pk/products/a-one-deluxe-pan-masala-150-gm,Dry Fruits & Nuts
al-fateh,dry_fruits_&_dates---fateh,MADINA AJWA DATES 800 GM PACK,"Rs.3,595",https://alfatah.pk/products/madina-ajwa-dates-800-gm-pack,Dry Fruits & Nuts
al-fateh,dry_fruits_&_dates---fateh,BEST COCONUT CUBE 200 GM,Rs.595,https://alfatah.pk/products/best-coconut-cube-200-gm,Dry Fruits & Nuts
al-fateh,dry_fruits_&_dates---fateh,A ONE GOTA PAN MASALA JAR 150 GM,Rs.210,https://alfatah.pk/products/a-one-gota-pan-masala-jar-150-gm,Dry Fruits & Nuts
al-fateh,dry_fruits_&_dates---fateh,BEST COCONUT CUBE 100 GM,Rs.285,https://alfatah.pk/products/best-coconut-cube-100-gm,Dry Fruits & Nuts
al-fateh,dry_fruits_&_dates---fateh,COCONUT WHOLE 100 GM,Rs.180,https://alfatah.pk/products/coconut-whole-100-gm,Dry Fruits & Nuts
al-fateh,dry_fruits_&_dates---fateh,BLUE RIBBON CLASSIC ZERO SUPARI BOX 100 GM,Rs.125,https://alfatah.pk/products/freshly-royal-khajoor-mouth-freshener-box-110-gm,Dry Fruits & Nuts
al-fateh,dry_fruits_&_dates---fateh,BEST CRUSHED ALMOND 200 GM,Rs.945,https://alfatah.pk/products/best-crushed-almond-200-gm,Dry Fruits & Nuts
al-fateh,dry_fruits_&_dates---fateh,BEST CRUSHED PISTA 100 GM,"Rs.1,045",https://alfatah.pk/products/best-crushed-pista-100-gm,Dry Fruits & Nuts
al-fateh,dry_fruits_&_dates---fateh,AONE MIX PAN MASALA JAR 150GM,Rs.210,https://alfatah.pk/products/aone-mix-pan-masala-jar-150gm,Dry Fruits & Nuts
al-fateh,dry_fruits_&_dates---fateh,A ONE GOLD PAN MASALA 150GM,Rs.195,https://alfatah.pk/products/a-one-gold-pan-masala-150gm,Dry Fruits & Nuts
al-fateh,dry_fruits_&_dates---fateh,PAL PAL MEETHA PAN MASALA JAR 150 GM,Rs.160,https://alfatah.pk/products/pal-pal-meetha-pan-masala-jar-150-gm,Dry Fruits & Nuts
al-fateh,dry_fruits_&_dates---fateh,A ONE SUGAR COATED SOUNF 185 GM,Rs.195,https://alfatah.pk/products/a-one-sugar-coated-sounf-230-gm,Dry Fruits & Nuts
al-fateh,dry_fruits_&_dates---fateh,PAL PAL MEETHA PAN MASALA BOX 48 PC,Rs.240,https://alfatah.pk/products/pal-pal-meetha-pan-masala-box-48-pc,Dry Fruits & Nuts
al-fateh,dry_fruits_&_dates---fateh,ANNAB 100 GM,Rs.115,https://alfatah.pk/products/annab-100-gm,Dry Fruits & Nuts
al-fateh,dry_fruits_&_dates---fateh,MADINA SUKARI DATE 500 GM PACK,"Rs.1,595",https://alfatah.pk/products/madina-sukari-date-500-gm-pack,Dry Fruits & Nuts
al-fateh,dry_fruits_&_dates---fateh,ECO COCONUT POWDER 100GM,Rs.295,https://alfatah.pk/products/eco-coconut-powder-100gm,Dry Fruits & Nuts
al-fateh,dry_fruits_&_dates---fateh,BLACK CURRENT 100 GM,Rs.300,https://alfatah.pk/products/black-current-100-gm,Dry Fruits & Nuts
al-fateh,dry_fruits_&_dates---fateh,MUNTAHA MOUTH FRESHNER WHEEL BEATLE 150 GM,"Rs.1,220",https://alfatah.pk/products/muntaha-mouth-freshner-wheel-beatle-150-gm,Dry Fruits & Nuts
al-fateh,dry_fruits_&_dates---fateh,COCONUT LOOSE 100 GM,Rs.200,https://alfatah.pk/products/coconut-loose-100-gm,Dry Fruits & Nuts
al-fateh,dry_fruits_&_dates---fateh,MAIZBAN PAN MASALA COCONUT POWDER 200GM,Rs.425,https://alfatah.pk/products/maizban-pan-masala-coconut-powder-200gm,Dry Fruits & Nuts
al-fateh,dry_fruits_&_dates---fateh,A ONE CHANA MAKHANA MIX JAR 125 GM,Rs.210,https://alfatah.pk/products/aone-chana-makhana-mix-jar-165-gm,Dry Fruits & Nuts
al-fateh,dry_fruits_&_dates---fateh,NUTRI MAHARAJA PAN MASALA POUCH 60 GM,Rs.235,https://alfatah.pk/products/nutri-maharaja-pan-masala-pouch-60-gm,Dry Fruits & Nuts
al-fateh,dry_fruits_&_dates---fateh,NUTRI WARQI PAN MASALA POUCH 70 GM,Rs.210,https://alfatah.pk/products/nutri-warqi-pan-masala-pouch-70-gm,Dry Fruits & Nuts
al-fateh,dry_fruits_&_dates---fateh,SHAHI DELUXE MOUTH FRESHNER 48 PC 115 GM,Rs.240,https://alfatah.pk/products/shahi-deluxe-mouth-freshner-48-2-pc-170-gm,Dry Fruits & Nuts
al-fateh,dry_fruits_&_dates---fateh,NUTRI MUGHALAE PAN MASALA POUCH 60 GM,Rs.225,https://alfatah.pk/products/nutri-mughalae-pan-masala-pouch-60-gm,Dry Fruits & Nuts
al-fateh,dry_fruits_&_dates---fateh,NUTRI PAN PARAG KHOPRA MSALA JAR 150 GM,Rs.170,https://alfatah.pk/products/nutri-pan-parag-khopra-msala-jar-150-gm,Dry Fruits & Nuts
al-fateh,dry_fruits_&_dates---fateh,NUTRI PAN MENTHOL JAR 150 GM,Rs.235,https://alfatah.pk/products/nutri-pan-menthol-jar-150-gm,Dry Fruits & Nuts
al-fateh,dry_fruits_&_dates---fateh,MAIZBAN HUMPTY DUMPTY COCKTAIL BUNTIES 175GM,Rs.260,https://alfatah.pk/products/maizban-humpty-dumpty-cocktail-bunties-175gm,Dry Fruits & Nuts
al-fateh,dry_fruits_&_dates---fateh,NUTRI SHAHI METHA PAN MASALA POUCH 60 GM,Rs.245,https://alfatah.pk/products/nutri-shahi-metha-pan-masala-pouch-60-gm,Dry Fruits & Nuts
al-fateh,dry_fruits_&_dates---fateh,MAIZBAN PAN MASALA PLAIN 200GM,Rs.425,https://alfatah.pk/products/maizban-pan-masala-plain-200gm,Dry Fruits & Nuts
al-fateh,dry_fruits_&_dates---fateh,AONE SOUNF CHANA MIX 150GM,Rs.210,https://alfatah.pk/products/aone-sounf-chana-mix-150gm,Dry Fruits & Nuts
al-fateh,dry_fruits_&_dates---fateh,MAIZBAN PAN MASALA SWEET JAR 450gm,Rs.425,https://alfatah.pk/products/maizban-pan-masala-sweet-saunf-300-gm,Dry Fruits & Nuts
al-fateh,dry_fruits_&_dates---fateh,NUTRI BOMBAY PAN MASALA JAR 100 GM,Rs.445,https://alfatah.pk/products/nutri-bombay-pan-masala-jar-100-gm,Dry Fruits & Nuts
al-fateh,dry_fruits_&_dates---fateh,ECO COCONUT SLICES 100GM,Rs.195,https://alfatah.pk/products/eco-coconut-slices-100gm,Dry Fruits & Nuts
al-fateh,dry_fruits_&_dates---fateh,MUNTAHA PLAIN ROSTED SAUNF 175 GM,Rs.480,https://alfatah.pk/products/muntaha-plain-rosted-saunf-175-gm,Dry Fruits & Nuts
al-fateh,dry_fruits_&_dates---fateh,MAIZBAN PAN MASALA DHANYA GIRI SOUNF 175 GM,Rs.425,https://alfatah.pk/products/maizban-pan-masala-dhanya-giri-sounf-200gm,Dry Fruits & Nuts
al-fateh,dry_fruits_&_dates---fateh,MANAQA SPECIAL QUALITY 100 GM,Rs.170,https://alfatah.pk/products/manaqa-special-quality-100-gm,Dry Fruits & Nuts
al-fateh,dry_fruits_&_dates---fateh,PAL PAL CHOCOLATEY PAN MASALA BOX 48 PC,Rs.240,https://alfatah.pk/products/pal-pal-chocolatey-pan-masala-box-48-pc,Dry Fruits & Nuts
al-fateh,dry_fruits_&_dates---fateh,A ONE SWEET SAUNF 185 GM,Rs.195,https://alfatah.pk/products/a-one-sweet-saunf-185-gm,Dry Fruits & Nuts
al-fateh,dry_fruits_&_dates---fateh,MAIZBAN PAN MASALA SWEET 200GM,Rs.425,https://alfatah.pk/products/maizban-pan-masala-sweet-200gm,Dry Fruits & Nuts
al-fateh,dry_fruits_&_dates---fateh,N HUG ENERGY MIX 200 GM,"Rs.1,295",https://alfatah.pk/products/n-hug-energy-mix-200-gm,Dry Fruits & Nuts
al-fateh,dry_fruits_&_dates---fateh,NUTRI KASMIRI PAN MASALA JAR 150 GM,Rs.250,https://alfatah.pk/products/nutri-kasmiri-pan-masala-jar-150-gm,Dry Fruits & Nuts
al-fateh,dry_fruits_&_dates---fateh,NUTRI CANDY PAN MASALA JAR 150 GM,Rs.250,https://alfatah.pk/products/nutri-candy-pan-masala-jar-150-gm,Dry Fruits & Nuts
al-fateh,dry_fruits_&_dates---fateh,NUTRI TULSI MOUTH FRESH JAR 100 GM,Rs.445,https://alfatah.pk/products/nutri-tulsi-mouth-fresh-jar-100-gm,Dry Fruits & Nuts
al-fateh,dry_fruits_&_dates---fateh,NUTRI SONF SWEET JAR 150 GM,Rs.145,https://alfatah.pk/products/nutri-sonf-sweet-jar-150-gm,Dry Fruits & Nuts
al-fateh,dry_fruits_&_dates---fateh,NUTRI BOMBAY PAN MASALA -POUCH PACK 60 GM,Rs.295,https://alfatah.pk/products/nutri-bombay-pan-masala-pouch-pack-60-gm,Dry Fruits & Nuts
al-fateh,dry_fruits_&_dates---fateh,NUTRI PAN PARAG GOTTA MASALA 150 GM,Rs.205,https://alfatah.pk/products/nutri-pan-parag-gotta-masala-150-gm,Dry Fruits & Nuts
al-fateh,dry_fruits_&_dates---fateh,A ONE ELACHI MEVA MIX 200 GM,Rs.210,https://alfatah.pk/products/a-one-elachi-meva-mix-200-gm,Dry Fruits & Nuts
al-fateh,dry_fruits_&_dates---fateh,NUTRI GREEN PAN MASALA JAR 150 GM,Rs.260,https://alfatah.pk/products/nutri-green-pan-masala-jar-150-gm,Dry Fruits & Nuts
al-fateh,dry_fruits_&_dates---fateh,MAIZBAN SWEET BEATLE STICK SAUNF 150 GM,Rs.425,https://alfatah.pk/products/maizban-sweet-beatle-stick-saunf-150-gm,Dry Fruits & Nuts
al-fateh,dry_fruits_&_dates---fateh,MARHABA MAZA DANA MOUTH FRESHENER 2 GM,Rs.120,https://alfatah.pk/products/marhaba-maza-dana-mouth-freshener-2-gm,Dry Fruits & Nuts
al-fateh,dry_fruits_&_dates---fateh,MADINA AMBER DATES 500 GM PACK,"Rs.2,295",https://alfatah.pk/products/madina-amber-dates-500-gm-pack,Dry Fruits & Nuts
al-fateh,dry_fruits_&_dates---fateh,A ONE SOOPER PAN MASALA 145 GM,Rs.210,https://alfatah.pk/products/a-one-sooper-pan-masala-145-gm,Dry Fruits & Nuts
al-fateh,dry_fruits_&_dates---fateh,NUTRI MAHARAJA PAN MASALA JAR 100 GM,Rs.355,https://alfatah.pk/products/nutri-maharaja-pan-masala-jar-100-gm,Dry Fruits & Nuts
al-fateh,dry_fruits_&_dates---fateh,DRY DATES 250 GM,Rs.300,https://alfatah.pk/products/dry-dates-250-gm,Dry Fruits & Nuts
al-fateh,dry_fruits_&_dates---fateh,SHAHI ELAICHI HERBAL MOUTH FRESHENER 48 PCS 120 GM,Rs.240,https://alfatah.pk/products/shahi-elaichi-herbal-mouth-freshener-48-pcs-120-gm,Dry Fruits & Nuts
al-fateh,dry_fruits_&_dates---fateh,NUTRI DIET PAN MASALA JAR 100 GM,Rs.405,https://alfatah.pk/products/nutri-diet-pan-masala-jar-100-gm,Dry Fruits & Nuts
al-fateh,dry_fruits_&_dates---fateh,AONE GOTA GALA PAN MASALA JAR 150 GM,Rs.210,https://alfatah.pk/products/aone-gota-gala-pan-masala-jar-150-gm,Dry Fruits & Nuts
al-fateh,dry_fruits_&_dates---fateh,MAIZBAN PAN MASALA CARDAMOMS 200GM,Rs.425,https://alfatah.pk/products/maizban-pan-masala-cardamoms-200gm,Dry Fruits & Nuts
al-fateh,dry_fruits_&_dates---fateh,MAIZBAN PAN MASALA PREMIUM QUALITY 200GM,Rs.425,https://alfatah.pk/products/maizban-pan-masala-premium-quality-200gm,Dry Fruits & Nuts
al-fateh,dry_fruits_&_dates---fateh,NUTRI SONF SWEET ROASTED 100 GM,Rs.495,https://alfatah.pk/products/nutri-sonf-sweet-roasted-100-gm,Dry Fruits & Nuts
al-fateh,dry_fruits_&_dates---fateh,NUTRI TULSI PAN MASALA 150 GM,Rs.160,https://alfatah.pk/products/nutri-tulsi-pan-masala-150-gm,Dry Fruits & Nuts
al-fateh,dry_fruits_&_dates---fateh,MAIZBAN CHOCO N CHOCO SAUNF 250 GM,Rs.425,https://alfatah.pk/products/maizban-choco-n-choco-saunf-250-gm,Dry Fruits & Nuts
al-fateh,dry_fruits_&_dates---fateh,ECO DRY APRICOT 200GM,Rs.435,https://alfatah.pk/products/eco-dry-apricot-200gm,Dry Fruits & Nuts
al-fateh,dry_fruits_&_dates---fateh,NUTRI SUPARI PAN MASALA JAR 100 GM,Rs.495,https://alfatah.pk/products/nutri-supari-pan-masala-jar-100-gm,Dry Fruits & Nuts
al-fateh,dry_fruits_&_dates---fateh,MARHABA ARQ SAUNF 240 ML,Rs.125,https://alfatah.pk/products/marhaba-arq-saunf-240-ml,Dry Fruits & Nuts
al-fateh,dry_fruits_&_dates---fateh,MAIZBAN MAGIC TASTE SAUNF 150GM,Rs.425,https://alfatah.pk/products/maizban-magic-taste-saunf-150gm,Dry Fruits & Nuts
al-fateh,dry_fruits_&_dates---fateh,PATIENCE ORGANIC CRANBERRIES 113GM,"Rs.2,895",https://alfatah.pk/products/patience-organic-cranberries-113gm,Dry Fruits & Nuts
al-fateh,dry_fruits_&_dates---fateh,SHAHI MEVA MIXED DRY FRUITS 216 GM,Rs.240,https://alfatah.pk/products/shahi-meva-mixed-dry-fruits-216-gm,Dry Fruits & Nuts
al-fateh,dry_fruits_&_dates---fateh,MAIZBAN PAN MASALA ELACHI PLUS 200GM,Rs.425,https://alfatah.pk/products/maizban-pan-masala-elachi-plus-200gm,Dry Fruits & Nuts
al-fateh,dry_fruits_&_dates---fateh,MAIZBAN CLASSIC SWEET SAUNF 200 GM,Rs.425,https://alfatah.pk/products/maizban-classic-sweet-saunf-250-gm,Dry Fruits & Nuts
al-fateh,dry_fruits_&_dates---fateh,LIFE STYLE PUMPKIN SEEDS 250 GM,"Rs.1,795",https://alfatah.pk/products/life-style-pumpkin-seeds-250-gm,Dry Fruits & Nuts
al-fateh,dry_fruits_&_dates---fateh,RASILY SUPARI 48 PCS 72 GM,Rs.240,https://alfatah.pk/products/rasily-supari-48-pcs-72-gm,Dry Fruits & Nuts
al-fateh,dry_fruits_&_dates---fateh,LAREENO CHESTNUTS ORGANIC PEELED ROASTED 100 GM,"Rs.1,495",https://alfatah.pk/products/lareeno-chestnuts-organic-peeled-roasted-100-gm,Dry Fruits & Nuts
al-fateh,dry_fruits_&_dates---fateh,BLUE DIAMOND TOASTED ALMONDS NATURAL TIN 130 GM,"Rs.2,095",https://alfatah.pk/products/blue-diamond-toasted-almonds-natural-tin-130-gm,Dry Fruits & Nuts
al-fateh,dry_fruits_&_dates---fateh,BEST SWEET CHANA 200 GM,Rs.350,https://alfatah.pk/products/best-sweet-chana-200-gm,Dry Fruits & Nuts
al-fateh,dry_fruits_&_dates---fateh,LIFE STYLE BASIL SEED 250 GM,Rs.945,https://alfatah.pk/products/life-style-basil-seed-250-gm,Dry Fruits & Nuts
al-fateh,dry_fruits_&_dates---fateh,NUTRI ANMOL MIX PAN MASALA JAR 150 GM,Rs.260,https://alfatah.pk/products/nutri-anmol-mix-pan-masala-jar-150-gm,Dry Fruits & Nuts
al-fateh,dry_fruits_&_dates---fateh,BLUE DIAMOND ALMONDS HONEY ROASTED TIN 130 GM,"Rs.2,095",https://alfatah.pk/products/blue-diamond-almonds-honey-roasted-tin-130-gm,Dry Fruits & Nuts
al-fateh,dry_fruits_&_dates---fateh,MARYAM DATES PLAIN 560 GM,"Rs.1,526Rs.1,795",https://alfatah.pk/products/maryam-dates-plain-560-gm,Dry Fruits & Nuts
al-fateh,dry_fruits_&_dates---fateh,BLUE DIAMOND CASHEW NUTS ROASTED SALTED TIN 135 GM,"Rs.2,095",https://alfatah.pk/products/blue-diamond-cashew-nuts-roasted-salted-tin-135-gm,Dry Fruits & Nuts
al-fateh,dry_fruits_&_dates---fateh,BLUE DIAMOND ROASTED ALMONDS BARBECUE TIN 130 GM,"Rs.2,095",https://alfatah.pk/products/blue-diamond-roasted-almonds-barbecue-tin-130-gm,Dry Fruits & Nuts
al-fateh,dry_fruits_&_dates---fateh,BLUE DIAMOND CASHEW NUTS HONEY ROASTED TIN 135 GM,"Rs.2,095",https://alfatah.pk/products/blue-diamond-cashew-nuts-honey-roasted-tin-135-gm,Dry Fruits & Nuts
al-fateh,dry_fruits_&_dates---fateh,BEST PEANUT SWEET 200 GM,Rs.320,https://alfatah.pk/products/best-peanut-sweet-200-gm,Dry Fruits & Nuts
